GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2019112406,2019-11-24,3,6,39,NYJ,LV,0,0,85,,1,,0,"9-S.FICKEN EXTRA POINT IS GOOD, CENTER-42-T.HENNESSY, HOLDER-4-L.EDWARDS.",0,,,2019,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2019112406,2019-11-24,3,6,44,NYJ,LV,3,1,99,,1,,0,"(6:44) (SHOTGUN) 14-S.DARNOLD PASS SHORT RIGHT TO 11-RO.ANDERSON FOR 1 YARD, TOUCHDOWN.",0,,,2019,1,SHOTGUN,PASS,0,1,0,1,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,1,OPP,0,,0,,0
2019112406,2019-11-24,3,7,20,NYJ,LV,2,4,96,,0,,0,"(7:20) (SHOTGUN) 14-S.DARNOLD PASS SHORT RIGHT TO 26-L.BELL PUSHED OB AT OAK 1 FOR 3 YARDS (25-E.HARRIS).",0,,,2019,3,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,4,OPP,0,,0,,0
2019112406,2019-11-24,3,8,0,NYJ,LV,1,9,91,,0,,0,"(8:00) 26-L.BELL RIGHT TACKLE TO OAK 4 FOR 5 YARDS (25-E.HARRIS).",0,,,2019,5,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT TACKLE",9,OPP,0,,0,,0
2019112406,2019-11-24,3,8,40,NYJ,LV,1,10,61,,1,,0,"(8:40) (SHOTGUN) 14-S.DARNOLD PASS DEEP RIGHT TO 11-RO.ANDERSON TO OAK 9 FOR 30 YARDS (26-N.LAWSON).",0,,,2019,30,SHOTGUN,PASS,0,1,0,0,"DEEP RIGHT",0,0,0,,0,0,0,0,0,0,,39,OPP,0,,0,,0
2019112406,2019-11-24,3,12,58,NYJ,LV,0,0,85,,1,,0,"9-S.FICKEN EXTRA POINT IS GOOD, CENTER-42-T.HENNESSY, HOLDER-4-L.EDWARDS.",0,,,2019,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2019112406,2019-11-24,3,13,5,NYJ,LV,1,1,99,,1,,0,"(13:05) (SHOTGUN) 14-S.DARNOLD PASS SHORT LEFT TO 84-R.GRIFFIN FOR 1 YARD, TOUCHDOWN.",0,,,2019,1,SHOTGUN,PASS,0,1,0,1,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,1,OPP,0,,0,,0
2019112406,2019-11-24,2,0,44,NYJ,LV,4,15,70,,0,,0,"(:44) 9-S.FICKEN 48 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-42-T.HENNESSY, HOLDER-4-L.EDWARDS.",0,,,2019,0,"FIELD GOAL","FIELD GOAL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,30,OPP,0,,0,,0
2019112406,2019-11-24,2,0,47,NYJ,LV,3,15,70,,0,,0,"(:47) (SHOTGUN) 14-S.DARNOLD PASS INCOMPLETE SHORT MIDDLE.",0,,,2019,0,SHOTGUN,PASS,0,1,1,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,30,OPP,0,,0,,0
2019112406,2019-11-24,2,1,1,NYJ,LV,2,18,67,,0,,0,"(1:01) (SHOTGUN) 14-S.DARNOLD PASS SHORT LEFT TO 82-J.CROWDER TO OAK 30 FOR 3 YARDS (26-N.LAWSON).",0,,,2019,3,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,33,OPP,0,,0,,0
